pop	bam	mom	dad	sex	class1	B1	S1U	S1V	S1B	S1G	S1Y	S1R	indv	trash
SK	AG01_S94.r.bam	0	0	2	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG01	S94.r.bam
SK	AG02_S231.r.bam	0	0	2	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG02	S231.r.bam
SK	AG03_S230.r.bam	0	0	2	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG03	S230.r.bam
SK	AG04_S188.r.bam	0	0	1	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG04	S188.r.bam
SK	AG05_S241.r.bam	0	0	2	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG05	S241.r.bam
SK	AG07_S195.r.bam	0	0	2	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG07	S195.r.bam
SK	AG08_S196.r.bam	0	0	1	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG08	S196.r.bam
SK	AG09_S166.r.bam	0	0	2	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG09	S166.r.bam
SK	AG10_S157.r.bam	0	0	1	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG10	S157.r.bam
SK	AG11_S184.r.bam	0	0	2	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG11	S184.r.bam
SK	AG12_S237.r.bam	0	0	1	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG12	S237.r.bam
SK	AG13_S77.r.bam	0	0	2	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG13	S77.r.bam
SK	AG14_S225.r.bam	0	0	1	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG14	S225.r.bam
SK	AG15_S186.r.bam	0	0	2	-9	1048.452	0.166	0.2	0.283	0.257	0.21	0.302	AG15	S186.r.bam
